           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
            -34.4            -38.4               20       -51.029575        55.256481        33.184044       -13.658886       -27.841295        27.514511
            -33.6            -38.4               20       -52.921265       -50.700489        14.882338        33.591923       -19.315935       -20.170555
            -32.8            -38.4               20        37.212734       -37.957649       -37.128868        14.040943        17.797283       -11.542016
              -32            -38.4               20        20.490658        31.135866       -12.412041        -33.92622       -4.1156397        12.824966
            -31.2            -38.4               20       -29.949043       -3.1347165        28.293686       -12.444384       -11.916512       -12.389928
            -30.4            -38.4               20        21.793819       -28.870657         9.383688        22.170141        24.275183       -17.959961
            -29.6            -38.4               20        42.593616        41.868431       -13.768096        2.0949063        23.728539        26.508923
            -28.8            -38.4               20       -49.617435         60.42992        5.6507301       -10.264849       -25.602501        33.795223
              -28            -38.4               20       -80.608971       -46.733662        12.765795        18.297356       -41.202526        -17.05007
            -27.2            -38.4               20         23.06995       -100.50322       -22.855095        17.872047        5.2853708       -39.070766
            -26.4            -38.4               20        92.650673       -3.9521303       -30.679863       -23.644943         35.82729       -6.6075153
            -25.6            -38.4               20        26.024427        75.941467        16.609207       -37.719795        9.0825996        21.884365
            -24.8            -38.4               20       -49.397964        26.671501        41.161789        3.2643237       -12.351487        7.7431993
              -24            -38.4               20       -13.217369       -34.905567        9.7766132        37.946014        2.1502738       -10.785978
            -23.2            -38.4               20        45.126148       -3.3806186       -25.860437        19.936127        14.065456        6.3733139
            -22.4            -38.4               20        8.8255148        57.384071       -23.631989        -13.27041       -3.6579242        26.524681
            -21.6            -38.4               20       -68.036072        30.803493        3.5962691       -17.236403       -31.617548        7.9841795
            -20.8            -38.4               20       -63.345875       -59.965149        9.1216917      -0.84266424       -23.209396       -27.030018
              -20            -38.4               20         31.08054       -87.511688       -5.3849306        5.2732201        12.472301       -36.396713
            -19.2            -38.4               20        103.05907       -15.060313       -9.0204029       -9.3501387        34.506561        -9.150547
            -18.4            -38.4               20        69.294937        81.917458        5.1213188       -21.922396        26.108406        22.971882
            -17.6            -38.4               20       -26.080256        104.77778        26.023739       -10.403711       -2.2431812         27.89819
            -16.8            -38.4               20        -91.70607        41.175896        28.797224        12.580589        -18.21224        15.132296
              -16            -38.4               20       -81.401695       -34.608742        10.841117        30.748629       -15.266801       -3.2089181
            -15.2            -38.4               20       -18.080894       -65.573441       -11.325612        30.627224       -6.6193514       -10.970077
            -14.4            -38.4               20        33.581329        -38.72081       -26.325296        13.279978        4.2577677       -4.8265944
            -13.6            -38.4               20         35.29866        15.991502       -23.826159       -6.5024672         6.292738        4.4032855
            -12.8            -38.4               20       -9.6789446        47.361088       -10.175705       -16.703478       -2.0376582        11.011394
              -12            -38.4               20       -62.579449        32.286774        2.4991674       -12.921144       -11.496748        8.2156029
            -11.2            -38.4               20       -89.171684        -22.32262        9.4516878       -4.3121243       -19.687925      -0.96806705
            -10.4            -38.4               20       -72.904884       -84.337013        4.9615417        4.7409663       -16.255192       -14.118166
             -9.6            -38.4               20       -20.316832       -123.63294      -0.74645579        6.8372736       -7.8536124       -21.343008
             -8.8            -38.4               20        38.175117       -131.08884       -5.1315722        3.2331483         3.469867       -21.080378
               -8            -38.4               20        92.939781       -104.55128       -8.7568398        1.6880302         13.42968       -18.652554
             -7.2            -38.4               20        129.90211        -65.00975       -7.2552223       -2.4235578        13.325808       -10.777975
             -6.4            -38.4               20        143.22725       -20.870956       -8.0076933       -5.4175448         15.64421       -4.5045886
             -5.6            -38.4               20        143.16872        24.287022       -6.0847712       -6.5018945        12.801739       -0.8396107
             -4.8            -38.4               20        129.63269        60.142475        -5.052319       -7.8755989        10.106518        2.6347632
               -4            -38.4               20          112.114        90.340187       -4.3669858       -6.3500743        7.8971024        3.3607583
             -3.2            -38.4               20        92.073311        106.98247      -0.89658433       -5.8068905        2.4263611        5.5213389
             -2.4            -38.4               20        70.657661        116.91687      -0.62739933       -4.4472713        2.0199862        6.1006422
             -1.6            -38.4               20          56.5513         121.3876       0.54168051       -1.1114025      -0.99556899        3.1361761
             -0.8            -38.4               20        49.094803        121.27639      -0.77322692      -0.37498608       0.12692286        2.0860975
                0            -38.4               20        46.704285        123.61775                0                0                0                0
              0.8            -38.4               20        49.094803        121.27639       0.77322692       0.37498608      -0.12692286       -2.0860975
              1.6            -38.4               20          56.5513         121.3876      -0.54168051        1.1114025       0.99556899       -3.1361761
              2.4            -38.4               20        70.657661        116.91687       0.62739933        4.4472713       -2.0199862       -6.1006422
              3.2            -38.4               20        92.073311        106.98247       0.89658433        5.8068905       -2.4263611       -5.5213389
                4            -38.4               20          112.114        90.340187        4.3669858        6.3500743       -7.8971024       -3.3607583
              4.8            -38.4               20        129.63269        60.142475         5.052319        7.8755989       -10.106518       -2.6347632
              5.6            -38.4               20        143.16872        24.287022        6.0847712        6.5018945       -12.801739        0.8396107
              6.4            -38.4               20        143.22725       -20.870956        8.0076933        5.4175448        -15.64421        4.5045886
              7.2            -38.4               20        129.90211        -65.00975        7.2552223        2.4235578       -13.325808        10.777975
                8            -38.4               20        92.939781       -104.55128        8.7568398       -1.6880302        -13.42968        18.652554
              8.8            -38.4               20        38.175117       -131.08884        5.1315722       -3.2331483        -3.469867        21.080378
              9.6            -38.4               20       -20.316832       -123.63294       0.74645579       -6.8372736        7.8536124        21.343008
             10.4            -38.4               20       -72.904884       -84.337013       -4.9615417       -4.7409663        16.255192        14.118166
             11.2            -38.4               20       -89.171684        -22.32262       -9.4516878        4.3121243        19.687925       0.96806705
               12            -38.4               20       -62.579449        32.286774       -2.4991674        12.921144        11.496748       -8.2156029
             12.8            -38.4               20       -9.6789446        47.361088        10.175705        16.703478        2.0376582       -11.011394
             13.6            -38.4               20         35.29866        15.991502        23.826159        6.5024672        -6.292738       -4.4032855
             14.4            -38.4               20        33.581329        -38.72081        26.325296       -13.279978       -4.2577677        4.8265944
             15.2            -38.4               20       -18.080894       -65.573441        11.325612       -30.627224        6.6193514        10.970077
               16            -38.4               20       -81.401695       -34.608742       -10.841117       -30.748629        15.266801        3.2089181
             16.8            -38.4               20        -91.70607        41.175896       -28.797224       -12.580589         18.21224       -15.132296
             17.6            -38.4               20       -26.080256        104.77778       -26.023739        10.403711        2.2431812        -27.89819
             18.4            -38.4               20        69.294937        81.917458       -5.1213188        21.922396       -26.108406       -22.971882
             19.2            -38.4               20        103.05907       -15.060313        9.0204029        9.3501387       -34.506561         9.150547
               20            -38.4               20         31.08054       -87.511688        5.3849306       -5.2732201       -12.472301        36.396713
             20.8            -38.4               20       -63.345875       -59.965149       -9.1216917       0.84266424        23.209396        27.030018
             21.6            -38.4               20       -68.036072        30.803493       -3.5962691        17.236403        31.617548       -7.9841795
             22.4            -38.4               20        8.8255148        57.384071        23.631989         13.27041        3.6579242       -26.524681
             23.2            -38.4               20        45.126148       -3.3806186        25.860437       -19.936127       -14.065456       -6.3733139
               24            -38.4               20       -13.217369       -34.905567       -9.7766132       -37.946014       -2.1502738        10.785978
             24.8            -38.4               20       -49.397964        26.671501       -41.161789       -3.2643237        12.351487       -7.7431993
             25.6            -38.4               20        26.024427        75.941467       -16.609207        37.719795       -9.0825996       -21.884365
             26.4            -38.4               20        92.650673       -3.9521303        30.679863        23.644943        -35.82729        6.6075153
             27.2            -38.4               20         23.06995       -100.50322        22.855095       -17.872047       -5.2853708        39.070766
               28            -38.4               20       -80.608971       -46.733662       -12.765795       -18.297356        41.202526         17.05007
             28.8            -38.4               20       -49.617435         60.42992       -5.6507301        10.264849        25.602501       -33.795223
             29.6            -38.4               20        42.593616        41.868431        13.768096       -2.0949063       -23.728539       -26.508923
             30.4            -38.4               20        21.793819       -28.870657        -9.383688       -22.170141       -24.275183        17.959961
